Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),Column 7,Column 8,Column 9
3.72,SEB,3 månader,11137.0,,,,,
2.93,Handelsbanken,3 år,11138.0,"1,9 mkr",mars 2012,,,
4.25,Handelsbanken,3 månader,11138.0,,,,,
3.92,Handelsbanken,3 månader,11138.0,6,20120320,,,
3.78,Handelsbanken,3 månader,11138.0,2 mkr,20120201,,,
2.68,SEB,2 år,11139.0,,,,,
3.4,Handelsbanken,3 år,11139.0,,,,,
3.3,SEB,1 år,11139.0,3000000,20120115,,,
3.48,SEB,3 månader,11139.0,806000 kr,2011-06-20,,,
3.8,Skandiabanken,3 månader,11139.0,2200000,2012-03-01,,,
3.8,Skandiabanken,3 månader,11139.0,2200000,2012-03-01,,,
3.79,SBAB,Rörlig,11139.0,"3,0 mrk",maj 2012,,,
4.37,SBAB,3 månader,11139.0,"1,74 mkr",2010,,,
4.37,SBAB,3 månader,11139.0,"1,74 mkr",2010,,,
2.73,SEB,2 år,11140.0,"2,5",20111201,,,
4.0,Handelsbanken,1 år,11140.0,,,,,
3.58,Swedbank,3 månader,11140.0,,,,,
4.2,Danske Bank,3 månader,11140.0,,,,,
3.92,SEB,3 månader,11140.0,,,,,
2.1,Handelsbanken,3 månader,11140.0,7 mkr,60530,,,
3.85,Handelsbanken,3 månader,11140.0,"2,7 mkr",120301,,,
2.68,SEB,2 år,11140.0,4,2010-09-25,,,
3.37,SEB,3 månader,11140.0,"1,73",2012-03-21,,,
4.13,Handelsbanken,3 månader,11140.0,"3,1",120201,,,
3.5,Swedbank,3 månader,11144.0,,,,,
2.67,SEB,2 år,11144.0,,,,,
3.51,SEB,3 månader,11144.0,,,,,
3.4,Nordea,3 månader,11144.0,,,,,
4.39,Swedbank,Rörlig,11152.0,,,,,
3.76,SEB,3 månader,11152.0,"2,8 mkr",2012-03-02,,,
2.85,Handelsbanken,3 år,11152.0,"2,4 mkr",Juni 2010,,,
4.0,Handelsbanken,Rörlig,11160.0,,,,,
3.62,SEB,2 år,11160.0,,,,,
3.6,Nordea,3 månader,11160.0,1530000,-,,,
3.3,SEB,Rörlig,11160.0,5 mkr,2012-03-01,,,
3.48,Swedbank,Rörlig,11160.0,"2,270 mkr",20120101,,,
3.88,SEB,1 år,11161.0,300000,augusti 2008,,,
3.36,Swedbank,Rörlig,11161.0,,,,,
3.61,Swedbank,3 månader,11161.0,,,,,
3.72,Nordea,3 månader,11161.0,"2,0 mkr",120301,,,
3.65,Danske Bank,Rörlig,11164.0,,,,,
4.1,Swedbank,3 månader,11164.0,280000,120401,,,
3.49,SEB,Rörlig,11212.0,"3,4 m kr",2011,,,
2.94,SEB,2 år,11215.0,2,2011-09-01,,,
3.91,SEB,3 månader,11215.0,,,,,
3.91,SEB,3 månader,11215.0,,,,,
3.55,Handelsbanken,3 månader,11215.0,,,,,
3.8,Skandiabanken,3 månader,11215.0,4800000,2012-03-01,,,
3.55,Handelsbanken,Rörlig,11215.0,"1,9 mkr",Mars 2012,,,
3.3,Handelsbanken,2 år,11215.0,"1,5",Mars 2012,,,
4.5,Nordea,Rörlig,11216.0,,,,,
3.21,SEB,3 månader,11216.0,,,,,
3.89,SBAB,3 månader,11216.0,"2,8 mkr",N/A,,,
3.65,Nordea,Rörlig,11216.0,"2,9",2011-11-05,,,
3.6,Nordea,3 månader,11216.0,2,120101,,,
4.08,Handelsbanken,1 år,11216.0,"4,1",2011-04-15,,,
3.5,Danske Bank,Rörlig,11216.0,"2,5",april 2010,,,
4.15,Swedbank,3 månader,11216.0,"2,1 mkr",Mars 2012,,,
3.75,Länsförsäkringar,3 månader,11216.0,4000000,April 2012,,,
4.14,SBAB,3 månader,11217.0,,,,,
3.47,Handelsbanken,2 år,11218.0,"2,5 mkr",December 2011,,,
3.3,Swedbank,2 år,11218.0,,,,,
3.36,SEB,3 månader,11218.0,,,,,
3.3,Handelsbanken,2 år,11218.0,,,,,
3.8,Nordea,3 månader,11218.0,,,,,
3.8,Nordea,3 månader,11218.0,,,,,
4.03,Handelsbanken,3 månader,11218.0,,,,,
3.0,Handelsbanken,3 år,11218.0,,,,,
4.24,Handelsbanken,3 månader,11218.0,,,,,
3.33,Handelsbanken,Rörlig,11218.0,,,,,
2.95,Handelsbanken,3 år,11218.0,,,,,
3.21,SBAB,2 år,11218.0,"3,2 mkr",2011-08-01,,,
3.83,SEB,3 månader,11218.0,3 mkr,20120401,,,
3.29,SEB,1 år,11218.0,900000,2011-07-01,,,
3.2,Länsförsäkringar,3 år,11218.0,"2,5",2012-02-01,,,
3.85,Swedbank,1 år,11218.0,2,2011-11-30,,,
3.36,SEB,3 månader,11218.0,"2,72 mkr",2010-06-23,,,
3.86,SEB,3 månader,11218.0,"3,2 mkr",2011-12-22,,,
4.15,SEB,3 månader,11218.0,"1,4",February 2011,,,
3.26,SEB,3 månader,11218.0,1000000,mars 2011,,,
4.0,Swedbank,Rörlig,11218.0,"1,8",2009,,,
3.95,Swedbank,3 månader,11219.0,585000,20120228,,,
3.59,SEB,3 månader,11219.0,2624000,120315,,,
3.01,SEB,2 år,11219.0,4 mkr,2011-11-10,,,
3.51,SEB,3 månader,11219.0,350000,120321,,,
3.74,Swedbank,2 år,11219.0,"1,66 mkr",2010-12-12,,,
3.53,Swedbank,3 månader,11219.0,"1,4 milj",20120401,,,
3.74,Swedbank,2 år,11219.0,"1,66",december 2010,,,
3.55,Nordea,2 år,11220.0,,,,,
4.13,Handelsbanken,3 månader,11220.0,,,,,
3.31,SEB,Rörlig,11220.0,,,,,
3.87,Handelsbanken,3 månader,11220.0,,,,,
4.1,Nordea,3 månader,11220.0,,,,,
3.83,Handelsbanken,3 månader,11220.0,,,,,
3.15,SEB,1 år,11220.0,"4,8 mkr",2011-05-28,,,
3.32,Nordea,3 månader,11220.0,"2,7 mkr",inte bundet,,,
3.26,SEB,3 månader,11220.0,"2,9 mkr",100303,,,
3.6,SEB,Rörlig,11220.0,"4,1",20070601,,,
3.91,SEB,3 månader,11220.0,1 mkr,Oktober 2009,,,
3.3,Danske Bank,Rörlig,11220.0,"3,8 mkr",November 2011,,,
3.2,Danske Bank,2 år,11220.0,"2,4 mkr",November 2011,,,
4.4,SBAB,3 månader,11221.0,,,,,
3.86,SEB,3 månader,11221.0,,,,,
3.6,Swedbank,Rörlig,11221.0,,,,,
3.51,SEB,3 månader,11221.0,,,,,
3.55,SEB,Rörlig,11221.0,,,,,
3.4,Nordea,2 år,11221.0,,,,,
3.29,SEB,Rörlig,11221.0,2750000,20101201,,,
3.74,SEB,3 månader,11221.0,"2,3 mkr",20120202,,,
3.8,Nordea,3 månader,11221.0,"3,6",120215,,,
3.98,SBAB,2 år,11221.0,"4,7 mkr",September 2010,,,
4.45,Swedbank,3 månader,11221.0,662500,3 månader/rörligt,,,
3.95,Swedbank,3 månader,11222.0,,,,,
3.45,Handelsbanken,2 år,11222.0,"1,45 mkr",2012-04-02,,,
3.4,Nordea,Rörlig,11222.0,"2,7mkr",2011,,,
3.4,Nordea,Rörlig,11222.0,"2,7mkr",2011,,,
3.42,SEB,3 månader,11222.0,"2,2 mkr",Januari 2012,,,
3.35,SEB,1 år,11223.0,,,,,
3.4,SEB,1 år,11223.0,,,,,
3.3,Handelsbanken,3 år,11223.0,,,,,
3.27,Swedbank,3 månader,11223.0,"4,45 mkr",2012-03-28,,,
3.8,Skandiabanken,3 månader,11223.0,"2,4",2012-02-29,,,
3.61,SEB,3 månader,11223.0,"0,4 mkr",2012-03-21,,,
3.37,SEB,1 år,11223.0,"0,34 mkr",2012-03-28,,,
4.27,Handelsbanken,3 år,11223.0,850 tkr,mars 2011,,,
3.06,Handelsbanken,3 år,11223.0,850 tkr,september 2010,,,
3.6,Handelsbanken,5 år,11223.0,875 tkr,September 2010,,,
4.17,Handelsbanken,3 månader,11223.0,134274,september 2010,,,
4.03,Handelsbanken,3 månader,11223.0,200 tkr,september 2010,,,
4.03,Handelsbanken,3 månader,11223.0,200 tkr,september 2010,,,
3.8,Skandiabanken,Rörlig,11224.0,,,,,
3.6,Swedbank,3 månader,11224.0,,,,,
4.05,SBAB,Rörlig,11224.0,,,,,
3.6,Swedbank,3 månader,11224.0,,,,,
4.29,Handelsbanken,3 månader,11224.0,,,,,
2.65,Danske Bank,Rörlig,11224.0,,,,,
2.6,Danske Bank,2 år,11224.0,"1,8",111101,,,
3.5,Swedbank,3 månader,11224.0,"1,4 mrk",2012-03-28,,,
3.56,SEB,3 månader,11224.0,"2,65 mkr",210312,,,
3.35,Danske Bank,3 månader,11224.0,"1,2 MKR",april 2012,,,
3.54,SEB,1 år,11224.0,"1,6 mkr",2012-04-28,,,
3.5,Swedbank,3 månader,11224.0,"1,4",2012-03-28,,,
4.04,Handelsbanken,1 år,11224.0,"1,5",januari 2012,,,
4.24,Handelsbanken,1 år,11224.0,1,januari 2012,,,
3.53,Handelsbanken,3 månader,11224.0,"2,5 mkr",Okt 2011,,,
3.9,Nordea,1 år,11224.0,858906,maj 2011,,,
3.92,Handelsbanken,3 månader,11225.0,,,,,
3.82,Handelsbanken,3 månader,11225.0,,,,,
4.76,SBAB,3 månader,11225.0,,,,,
4.17,Handelsbanken,Rörlig,11225.0,,,,,
3.97,SBAB,3 månader,11225.0,,,,,
3.9,Skandiabanken,Rörlig,11225.0,,,,,
3.99,SBAB,3 månader,11225.0,"1,4 mkr",20120401,,,
3.78,Handelsbanken,2 år,11225.0,1120000,2011-09-01,,,
3.69,SEB,uppdelat i tre olika delar,11225.0,"1,58 mkr",2011-07-10,,,
3.76,SEB,Rörlig,11225.0,2,2012-03-20,,,
3.94,Nordea,3 månader,11226.0,"2,6 mkr",2012-02-29,,,
4.13,SBAB,3 månader,11226.0,,,,,
4.0,Länsförsäkringar,3 månader,11226.0,,,,,
4.12,Länsförsäkringar,3 månader,11226.0,,,,,
4.0,Länsförsäkringar,3 månader,11226.0,,,,,
4.85,SBAB,7 år,11226.0,,,,,
3.56,SEB,1 år,11226.0,,,,,
3.41,SEB,Rörlig,11226.0,,,,,
4.0,Nordea,3 månader,11226.0,"1,8",2011-10-01,,,
3.7,Swedbank,Rörlig,11226.0,"1,680 mkr",Rörligt,,,
3.45,Nordea,Rörlig,11226.0,"2,6",101205,,,
4.0,SBAB,Rörlig,11227.0,,,,,
3.33,Handelsbanken,2 år,11227.0,,,,,
3.6,Danske Bank,Rörlig,11227.0,,,,,
3.56,SEB,3 månader,11227.0,,,,,
3.74,Swedbank,3 år,11228.0,,,,,
3.56,SEB,3 månader,11228.0,,,,,
4.13,Handelsbanken,Rörlig,11228.0,,,,,
4.29,Handelsbanken,Rörlig,11228.0,,,,,
3.55,Swedbank,3 månader,11228.0,,,,,
3.5,Handelsbanken,1 år,11228.0,"1,42 mkr",120229,,,
3.4,Handelsbanken,2 år,11228.0,"2,8",2012-03-20,,,
3.8,Swedbank,Rörlig,11228.0,"1,5",1111120,,,
3.7,Skandiabanken,3 månader,11228.0,"4,3 mkr",20120401,,,
4.1,Nordea,3 månader,11228.0,150000,110901,,,
4.14,Nordea,2 år,11228.0,250000,110327,,,
3.57,SBAB,2 år,11228.0,"0,9 mkr",101206,,,
3.36,SEB,1 år,11228.0,"2,5 mkr",2012-03-01,,,
3.45,Swedbank,3 månader,11228.0,1100000,2011-05-01,,,
2.75,SEB,1 år,11228.0,"3,9",okt 2011,,,
3.7,Handelsbanken,2 år,11229.0,,,,,
3.75,SEB,3 månader,11229.0,,,,,
4.13,Handelsbanken,3 månader,11229.0,,,,,
3.6,Nordea,3 månader,11229.0,"2,19 Mkr",2011-09-01,,,
4.18,Handelsbanken,3 månader,11229.0,985200,2012-02-01,,,
4.18,Handelsbanken,3 månader,11229.0,985200,2012-02-01,,,
4.08,Handelsbanken,3 månader,11229.0,985000,2012-02-01,,,
3.25,Danske Bank,3 månader,11229.0,"3,6 mkr",2011-06-10,,,
4.22,Handelsbanken,3 månader,11229.0,3,2012-03-01,,,
3.49,Handelsbanken,1 år,11229.0,"3,1",110801,,,
3.71,SEB,3 månader,11229.0,100000,2011-11-01,,,
3.45,Danske Bank,Rörlig,11229.0,"3,3mkr",2010-05-01,,,
3.36,SEB,3 månader,11229.0,"4,3 mkr",20120301,,,
4.09,SBAB,3 månader,11230.0,,,,,
3.98,Skandiabanken,3 månader,11230.0,,,,,
3.98,Skandiabanken,3 månader,11230.0,,,,,
3.99,Skandiabanken,3 månader,11230.0,,,,,
3.73,Handelsbanken,3 månader,11230.0,"2,2 mkr",2012-04-01,,,
3.5,Danske Bank,Rörlig,11230.0,3 mkr,120201,,,
3.55,Danske Bank,Rörlig,11230.0,2mkr,2012-04-02,,,
3.44,Handelsbanken,2 år,11230.0,16400000,200120401,,,
3.4,Danske Bank,Rörlig,11230.0,"2,4",2011-05-01,,,
3.77,SEB,Rörlig,11230.0,2 mkr,inte bundet,,,
3.95,Swedbank,3 månader,11230.0,"1,5 mkr",Mars 2012,,,
3.8,Nordea,Rörlig,11230.0,"3,5 mkr",februari 2011,,,
3.41,SEB,3 månader,11230.0,"0,44 mkr",juli 2011,,,
2.93,Swedbank,Rörlig,11231.0,,,,,
4.2,SBAB,Rörlig,11231.0,,,,,
3.33,SEB,2 år,11231.0,,,,,
3.22,SEB,1 år,11231.0,2295000,20111101,,,
4.09,SBAB,Rörlig,11231.0,420000,20120201,,,
3.18,Handelsbanken,2 år,11231.0,"2,045",2012-01-30,,,
3.16,SEB,2 år,11231.0,"1,8 mkr",2012-04-02,,,
4.2,Nordea,3 månader,11232.0,,,,,
3.56,SEB,3 månader,11232.0,"1,6 mkr",20120320,,,
3.82,Skandiabanken,Rörlig,11232.0,"1,2",1202229,,,
3.13,SEB,2 år,11233.0,"2,25 mkr",2011-11-30,,,
4.3,Swedbank,Rörlig,11233.0,"3,3 mkr",jan 2012,,,
4.12,Swedbank,3 år,11233.0,,,,,
4.05,Swedbank,3 månader,11233.0,,,,,
3.9,Swedbank,Rörlig,11233.0,,,,,
3.73,Handelsbanken,3 månader,11233.0,,,,,
3.91,Nordea,2 år,11233.0,,,,,
3.8,Nordea,Rörlig,11233.0,"1,4",2006-02-15,,,
3.8,Swedbank,3 månader,11233.0,"1,9 mkr",20120101,,,
3.16,SEB,2 år,11233.0,"1,9",110901,,,
3.5,Nordea,Rörlig,11233.0,"1,67",2011-12-01,,,
3.55,Nordea,2 år,11233.0,"1,67",2011-12-01,,,
2.75,Nordea,3 år,11233.0,3500000,2009,,,
4.05,Nordea,3 månader,11233.0,"700.0""0,00",20090801,,,
2.64,SEB,2 år,11233.0,"2,6 mkr",Oktober 2011,,,
4.35,Swedbank,Rörlig,11233.0,"3,3 mkr",januari 2012,,,
3.8,SBAB,Rörlig,11233.0,2470,2002,,,
3.93,Handelsbanken,3 månader,11233.0,"0,2 mkr",Mars 2011,,,
3.6,Handelsbanken,Rörlig,11233.0,"0,46 mkr",Oktober 2011,,,
2.98,SEB,2 år,11234.0,712500,September 2011,,,
3.11,SEB,3 år,11234.0,712500,September 2011,,,
3.7,Danske Bank,3 månader,11234.0,,,,,
3.69,Swedbank,Rörlig,11234.0,"2,26",71919,,,
3.44,Swedbank,3 månader,11234.0,"04.0""7,00",2012-03-28,,,
3.76,SEB,3 månader,11234.0,"495.0""0,00",Januari 2008,,,
2.42,Nordea,Rörlig,11234.0,"2,5 mkr",Januari 2008,,,
4.05,Nordea,3 månader,11234.0,"2,3 mkr",2010,,,
4.09,SBAB,3 månader,11235.0,1800000,FEB 2010,,,
4.09,SBAB,3 månader,11235.0,"1,77",löpande,,,
3.2,Handelsbanken,2 år,11235.0,4800000,April 2012,,,
4.5,Handelsbanken,1 år,11235.0,,,,,
4.2,Swedbank,3 månader,11235.0,900000,20090325,,,
3.36,SEB,3 månader,11235.0,"3,5 mkr",Januari 2012,,,
3.75,Nordea,Rörlig,11235.0,"2,2 mkr",Mars 2012,,,
3.92,SEB,3 månader,11236.0,,,,,
3.62,Handelsbanken,3 månader,11236.0,,,,,
4.3,Swedbank,3 månader,11236.0,,,,,
3.18,Handelsbanken,Rörlig,11236.0,,,,,
3.65,Nordea,3 månader,11236.0,"2,2 mkr",110425,,,
3.6,Handelsbanken,3 månader,11236.0,"3,5",2012-03-22,,,
3.3,Länsförsäkringar,3 år,11236.0,"1,986",2012-03-28,,,
3.75,Swedbank,Rörlig,11236.0,2460000,nej,,,
3.75,Danske Bank,Rörlig,11236.0,"1,95 mkr",Juni 2008,,,
3.85,Skandiabanken,3 månader,11237.0,,,,,
5.0,Handelsbanken,3 år,11237.0,,,,,
4.17,Swedbank,3 månader,11237.0,,,,,
4.3,Swedbank,2 år,11237.0,,,,,
3.55,Danske Bank,Rörlig,11237.0,,,,,
3.3,Danske Bank,Rörlig,11237.0,"5,7",20100701,,,
3.6,Swedbank,3 månader,11237.0,"1,7 mkr",2012-01-01,,,
3.44,Nordea,3 månader,11237.0,"2,1 mkr",20120125,,,
3.83,Handelsbanken,2 år,11237.0,"1,6",2011-06-01,,,
3.7,Nordea,Rörlig,11237.0,"1,2 mkr",2011-01-01,,,
3.62,Swedbank,3 månader,11237.0,2100000,2011-10-30,,,
3.7,Nordea,3 månader,11237.0,"2,2 mkr",120230,,,
3.9,Handelsbanken,Rörlig,11237.0,"1,9",2011-07-30,,,
3.51,SEB,3 månader,11237.0,"1,3 mkr",mars 2012,,,
3.35,SEB,2 år,11237.0,"1,5 mkr",Mars 2012,,,
4.23,Handelsbanken,3 månader,11238.0,"1,6",20120201,,,
4.1,Nordea,3 månader,11238.0,2,2012-02-18,,,
3.7,SEB,3 månader,11238.0,10,110501,,,
3.67,Handelsbanken,3 månader,11238.0,2500000,2012-04-01,,,
3.38,SEB,3 månader,11238.0,"2,5 mkr",2011-12-31,,,
3.36,SEB,1 år,11238.0,"1,9",juni 2011,,,
3.53,SEB,3 månader,11239.0,,,,,
3.7,Swedbank,3 månader,11239.0,2950000,120229,,,
4.15,Swedbank,3 månader,11239.0,2233000,2012-03-28,,,
3.74,Handelsbanken,3 månader,11239.0,3900000,2010-08-01,,,
3.16,SEB,3 månader,11239.0,"1,33",2011-03-15,,,
4.18,Handelsbanken,3 månader,11239.0,2,oktober 2006,,,
3.5,Swedbank,3 månader,11239.0,3800000,februari 2012,,,
3.68,Swedbank,2 år,11240.0,,,,,
2.76,SEB,2 år,11240.0,,,,,
3.7,Handelsbanken,2 år,11240.0,,,,,
3.16,SEB,3 månader,11240.0,,,,,
3.7,Nordea,3 månader,11240.0,,,,,
3.6,Nordea,3 månader,11240.0,,,,,
4.0,Handelsbanken,3 månader,11240.0,,,,,
3.46,Swedbank,Rörlig,11240.0,,,,,
2.76,SEB,2 år,11240.0,4 mkr,2011-12-10,,,
3.6,Danske Bank,3 månader,11240.0,"2,73",2012-04-02,,,
3.98,Handelsbanken,1 år,11240.0,"1,5",2011-09-14,,,
3.63,Handelsbanken,3 månader,11240.0,"2,2",120201,,,
3.4,Danske Bank,Rörlig,11241.0,,,,,
3.29,Skandiabanken,5 år,11241.0,"3,2",2010-09-10,,,
3.6,Danske Bank,Rörlig,11241.0,"2,8 mkr",Inte bundet,,,
3.96,Nordea,3 månader,11241.0,,,,,
3.6,Handelsbanken,3 månader,11241.0,,,,,
3.26,SEB,1 år,11241.0,,,,,
4.2,Swedbank,1 år,11241.0,,,,,
3.0,Handelsbanken,2 år,11241.0,,,,,
3.4,Danske Bank,Rörlig,11241.0,,,,,
3.92,Handelsbanken,Rörlig,11241.0,,,,,
4.1,Nordea,3 månader,11241.0,,,,,
4.22,Länsförsäkringar,3 månader,11241.0,"1,6",20120101,,,
3.82,Handelsbanken,3 månader,11241.0,"2,4 mkr",2012-04-01,,,
2.96,SEB,1 år,11241.0,"2,72 mkr",121017,,,
3.36,SEB,3 månader,11241.0,3400000,2012-03-25,,,
3.56,SEB,3 månader,11241.0,2500000,20120315,,,
4.05,Handelsbanken,2 år,11241.0,"1,25",110615,,,
3.58,SEB,3 månader,11241.0,"1,9 mkr",120321,,,
3.58,SEB,3 månader,11241.0,"1,9 mkr",120321,,,
3.35,Swedbank,3 månader,11241.0,"3,2 mkr",2012-02-01,,,
3.4,Handelsbanken,3 år,11241.0,"3,2 mkr",2010,,,
3.85,Länsförsäkringar,3 månader,11241.0,850000,februari 2010,,,
3.01,SEB,1 år,11242.0,1,2011-09-28,,,
2.91,SEB,2 år,11242.0,"1,56",2011-09-28,,,
2.91,SEB,2 år,11242.0,"1,56",2011-09-28,,,
3.58,Handelsbanken,1 år,11242.0,,,,,
3.3,Swedbank,2 år,11242.0,,,,,
4.0,Danske Bank,Rörlig,11242.0,,,,,
3.56,SEB,3 månader,11242.0,2 mkr,2012-03-21,,,
3.8,Swedbank,2 år,11242.0,"2,4 mkr",2011-12-06,,,
2.5,Handelsbanken,2 år,11242.0,"2,3 mkr",100601,,,
3.45,Danske Bank,Rörlig,11242.0,"3,8 mkr",2011-09-01,,,
3.94,SEB,Rörlig,11243.0,,,,,
3.5,Handelsbanken,1 år,11243.0,,,,,
4.69,Swedbank,3 år,11243.0,"1,3 mkr",110601,,,
3.81,SEB,3 månader,11243.0,296 tSEK,2011-12-31,,,
3.28,SEB,1 år,11243.0,"1,0 mkr",maj 2011,,,
4.39,Handelsbanken,3 månader,11244.0,"1,134",2012-03-01,,,
4.1,Nordea,Rörlig,11244.0,,,,,
3.8,Skandiabanken,3 månader,11244.0,,,,,
2.85,SEB,3 månader,11244.0,,,,,
4.26,SBAB,3 månader,11244.0,"1,43 mkr",2012-04-02,,,
4.15,Swedbank,3 månader,11244.0,440 kkr,ej bundet,,,
3.75,Nordea,1 år,11245.0,"2,6",Maj 2011,,,
2.93,SEB,2 år,11245.0,,,,,
4.3,Handelsbanken,5 år,11245.0,,,,,
4.1,Nordea,1 år,11245.0,,,,,
3.5,Nordea,3 månader,11245.0,,,,,
3.75,Nordea,2 år,11245.0,"1,5 mkr",111020,,,
3.5,Danske Bank,Rörlig,11245.0,"3,5",Rörligt,,,
2.79,SEB,1 år,11245.0,"1,3",2011-10-01,,,
3.73,Handelsbanken,3 månader,11245.0,3000000,2012-03-19,,,
2.58,Handelsbanken,2 år,11245.0,2200000,201100901,,,
3.5,Danske Bank,Rörlig,11245.0,"3,54",April  2011,,,
3.75,Handelsbanken,1 år,11246.0,,,,,
4.5,Handelsbanken,Rörlig,11246.0,,,,,
3.1,Swedbank,2 år,11246.0,,,,,
4.0,Swedbank,3 månader,11246.0,,,,,
3.35,Swedbank,3 månader,11246.0,3150000,2011-09-30,,,
3.4,Danske Bank,Rörlig,11246.0,3300000,20120301,,,
3.3,Danske Bank,3 månader,11246.0,"3,1",0,,,
3.75,Swedbank,3 månader,11246.0,"2,0 mkr",120330,,,
3.56,SEB,3 månader,11246.0,"1,4 mkr",2012-01-28,,,
3.56,SEB,3 månader,11246.0,"1,4 mkr",2012-01-28,,,
3.76,Handelsbanken,3 månader,11246.0,2600000,April 2012,,,
2.94,SEB,2 år,11246.0,"1,5",September 2011,,,
3.48,Nordea,3 månader,11247.0,"1,5",Juni 2011,,,
2.6,Skandiabanken,2 år,11247.0,,,,,
3.5,SEB,1 år,11247.0,,,,,
4.3,Nordea,Rörlig,11247.0,,,,,
3.98,Handelsbanken,3 månader,11247.0,380000,2012-02-01,,,
3.78,Handelsbanken,1 år,11247.0,"1,9 mkr",20110530,,,
2.75,Swedbank,Rörlig,11247.0,"01.3""5,00",120403,,,
3.17,Nordea,3 år,11247.0,"2,16 mkr",2012-03-26,,,
4.3,Nordea,3 månader,11247.0,2.2 mkr,dec 2012,,,
3.84,SBAB,Rörlig,11247.0,"2,2",Mars 2012,,,
3.84,SBAB,Rörlig,11247.0,"2,2",Mars 2012,,,
3.0,Handelsbanken,3 månader,11247.0,"1,2",december 2011,,,
3.95,Skandiabanken,Rörlig,11247.0,"1,484",December 2010,,,
4.3,Nordea,Rörlig,11247.0,2500000,oktober 2011,,,
3.42,SEB,3 månader,11248.0,,,,,
3.55,Swedbank,3 år,11248.0,,,,,
3.55,Swedbank,3 år,11248.0,,,,,
3.7,Länsförsäkringar,2 år,11248.0,,,,,
3.8,Skandiabanken,Rörlig,11248.0,,,,,
3.55,Handelsbanken,3 månader,11248.0,,,,,
4.48,SBAB,3 månader,11248.0,,,,,
3.12,SEB,2 år,11248.0,,,,,
3.9,Danske Bank,3 månader,11248.0,,,,,
3.58,Handelsbanken,3 månader,11248.0,"1,975 mkr",120401,,,
3.26,SEB,1 år,11248.0,"1,6",2011-08-01,,,
3.48,Handelsbanken,2 år,11248.0,"2,5",111001,,,
3.4,Danske Bank,Rörlig,11248.0,"5,9 mkr",-,,,
4.22,Länsförsäkringar,3 månader,11249.0,,,,,
3.4,Danske Bank,Rörlig,11249.0,"4,1 milj",rörligt,,,
3.4,Nordea,3 månader,11249.0,1675000,2011-11-30,,,
3.8,Nordea,3 månader,11249.0,"3,35 mkr",120327,,,
3.84,SBAB,Rörlig,11249.0,"1,2",har inte bundit,,,
3.7,Swedbank,Rörlig,11250.0,,,,,
3.15,Danske Bank,3 år,11250.0,,,,,
4.0,Danske Bank,Rörlig,11250.0,,,,,
4.2,Swedbank,2 år,11250.0,570000,2011-08-01,,,
3.78,Handelsbanken,3 månader,11250.0,"1,8 mkr",2010,,,
3.42,Swedbank,3 månader,11252.0,,,,,
3.36,SEB,3 månader,11252.0,,,,,
3.85,Danske Bank,Rörlig,11252.0,"2,45 mkr",rörligt,,,
4.45,Swedbank,3 månader,11252.0,"1,5 mkr",Mars 2010,,,
3.99,Handelsbanken,2 år,11253.0,,,,,
3.77,SEB,3 månader,11253.0,,,,,
4.1,Nordea,Rörlig,11253.0,,,,,
4.74,Swedbank,3 månader,11253.0,,,,,
4.74,Swedbank,3 månader,11253.0,,,,,
3.46,SEB,Rörlig,11253.0,"1,6 mkr",2011-01-01,,,
4.6,Swedbank,3 månader,11253.0,800000,30701,,,
3.45,Nordea,2 år,11253.0,"1,5",120320,,,
3.45,Handelsbanken,2 år,11253.0,2 mkr,20111001,,,
4.34,Länsförsäkringar,Rörlig,11253.0,"1,8 mkr",120331,,,
3.25,Nordea,2 år,11253.0,"2,3",2012-03-28,,,
3.75,Swedbank,3 år,11253.0,"2,8 mkr",110201,,,
3.7,SEB,3 månader,11253.0,900000,Jan 2012,,,
4.2,Swedbank,3 månader,11253.0,719000,Mars 2003,,,
3.58,Nordea,Rörlig,11254.0,,,,,
4.43,Handelsbanken,3 månader,11254.0,"2,6mkr",20090901,,,
4.43,Handelsbanken,3 månader,11254.0,"2,6mkr",20090901,,,
3.8,Handelsbanken,Rörlig,11254.0,"1,0 mkr",Rörligt,,,
3.8,Handelsbanken,Rörlig,11254.0,1 miljon,April 2012,,,
4.15,Handelsbanken,3 månader,11254.0,"1,5 mkr",Augusti 2011,,,
3.9,Handelsbanken,3 månader,11255.0,"1,2mkr",Januari 2012,,,
3.47,Nordea,2 år,11255.0,"1,7 mkr",2011-08-27,,,
3.7,SEB,Rörlig,11255.0,,,,,
3.7,SEB,Rörlig,11255.0,,,,,
3.7,SEB,Rörlig,11255.0,,,,,
4.1,Nordea,Rörlig,11255.0,,,,,
3.73,Handelsbanken,3 månader,11255.0,,,,,
3.4,Handelsbanken,2 år,11255.0,,,,,
2.0,Swedbank,2 år,11255.0,,,,,
3.5,Handelsbanken,2 år,11255.0,,,,,
3.75,Handelsbanken,3 månader,11255.0,,,,,
3.91,SEB,3 månader,11255.0,,,,,
3.37,SEB,3 månader,11255.0,"1,7 mkr",20120321,,,
4.03,Nordea,3 månader,11255.0,"0,3 mkr",2009-11-23,,,
3.62,Handelsbanken,2 år,11255.0,2 mkr,2012-02-01,,,
4.3,SBAB,3 månader,11255.0,"1,5",120301,,,
